Wavelength[nm],Intensity[normalized],Phase[rad]
879.36,0.14954784,-0.36187864
879.81,0.14890821,-0.37336176
880.25,0.14959440,-0.38390119
880.69,0.15118449,-0.39326970
881.14,0.15291674,-0.40133208
881.58,0.15611569,-0.40787052
882.03,0.15868363,-0.41304443
882.47,0.15665935,-0.41686365
882.91,0.15107159,-0.41919745
883.36,0.14578803,-0.41364912
883.80,0.14173836,-0.40021144
884.25,0.13977665,-0.38505511
884.69,0.13998684,-0.36871884
885.13,0.13893556,-0.35124552
885.58,0.13518644,-0.33278558
886.02,0.13191737,-0.31361527
886.47,0.13140492,-0.29353513
886.91,0.13285586,-0.27299145
887.35,0.13488212,-0.25178912
887.80,0.13680863,-0.23047055
888.24,0.13737584,-0.20870581
888.68,0.13641595,-0.18708652
889.13,0.13669354,-0.16522644
889.57,0.14024665,-0.14352924
890.02,0.14602574,-0.12192953
890.46,0.15192896,-0.10071124
890.90,0.15631633,-0.08332233
891.35,0.15770007,-0.06692698
891.79,0.15407364,-0.05101580
892.23,0.14491742,-0.03537570
892.68,0.13419449,-0.02029721
893.12,0.12766027,-0.00611052
893.56,0.12638379,0.00727432
894.01,0.12706067,0.01968829
894.45,0.12841270,0.03107864
894.89,0.13238546,0.04131823
895.34,0.13908729,0.05039039
895.78,0.14509943,0.05827173
896.22,0.14727011,0.06457241
896.67,0.14549032,0.06930464
897.11,0.14194754,0.07253714
897.55,0.13965104,0.07393758
897.99,0.14019044,0.07358762
898.44,0.14236122,0.05943818
898.88,0.14346828,0.04189206
899.32,0.14193060,0.02232634
899.77,0.13999469,0.00104576
900.21,0.14273140,-0.02166362
900.65,0.15086821,-0.04554441
901.09,0.15763473,-0.07049494
901.54,0.15747575,-0.09670399
901.98,0.15233191,-0.12376363
902.42,0.14616320,-0.15123905
902.87,0.14006287,-0.17900642
903.31,0.13364855,-0.20681110
903.75,0.12784630,-0.23433473
904.19,0.12456196,-0.26148577
904.64,0.12386186,-0.28798679
905.08,0.12305001,-0.31370356
905.52,0.11982207,-0.33857705
905.96,0.11492518,-0.35612143
906.41,0.11196738,-0.36880161
906.85,0.11327412,-0.38007313
907.29,0.11546700,-0.38986741
907.73,0.11508600,-0.39847123
908.18,0.11421160,-0.40577634
908.62,0.11496780,-0.41189507
909.06,0.11583797,-0.41672253
909.50,0.11455640,-0.42045486
909.94,0.11057459,-0.42297299
910.39,0.10509273,-0.42446356
910.83,0.09964904,-0.42479506
911.27,0.09576244,-0.42410353
911.71,0.09369714,-0.42234742
912.16,0.09120042,-0.41946521
912.60,0.08754647,-0.41535283
913.04,0.08524646,-0.41004004
913.48,0.08485062,-0.40350794
913.92,0.08483729,-0.39000032
914.37,0.08553273,-0.37564525
914.81,0.08707099,-0.36018858
915.25,0.08780859,-0.34413223
915.69,0.08683413,-0.32723932
916.13,0.08462303,-0.30966071
916.57,0.08222002,-0.29152642
917.02,0.08051653,-0.27329608
917.46,0.07987085,-0.25483272
917.90,0.08077168,-0.23617131
918.34,0.08297314,-0.21753025
918.78,0.08493532,-0.19879866
919.22,0.08645331,-0.18033383
919.67,0.08904997,-0.16184609
920.11,0.09233659,-0.14381313
920.55,0.09424637,-0.12616638
920.99,0.09468781,-0.10882155
921.43,0.09472129,-0.09312213
921.87,0.09424633,-0.08626911
922.31,0.09252488,-0.08002711
922.76,0.09053425,-0.07401362
923.20,0.08999471,-0.06830559
923.64,0.09041433,-0.06267896
924.08,0.09081531,-0.05750134
924.52,0.09080106,-0.05251668
924.96,0.08900095,-0.04794092
925.40,0.08528708,-0.04351788
925.84,0.08183594,-0.03934607
926.29,0.07960758,-0.03514698
926.73,0.07758776,-0.03073135
927.17,0.07526568,-0.02582459
927.61,0.07316076,-0.02103875
928.05,0.07263481,-0.01585353
928.49,0.07483908,-0.01085332
928.93,0.07878526,-0.00542657
929.37,0.08202722,-0.00018010
929.81,0.08361947,0.00757608
930.25,0.08431896,0.01552928
930.70,0.08382894,0.02333932
931.14,0.08115255,0.03135326
931.58,0.07694839,0.03958083
932.02,0.07253909,0.04789766
932.46,0.06768917,0.05653720
932.90,0.06305339,0.06523334
933.34,0.06157154,0.07411831
933.78,0.06208487,0.08333551
934.22,0.06058076,0.09276014
934.66,0.05783105,0.10231282
935.10,0.05607165,0.11200542
935.54,0.05398763,0.12184019
935.98,0.04996414,0.13183676
936.42,0.04604310,0.14184550
936.86,0.04503045,0.15225660
937.30,0.04559582,0.16247135
937.74,0.04632981,0.17651357
938.18,0.04898775,0.19923993
938.62,0.05281318,0.22224447
939.06,0.05437677,0.24512717
939.51,0.05342721,0.26792885
939.95,0.05183151,0.29020020
940.39,0.05012521,0.31179325
940.83,0.04912231,0.33260366
941.27,0.04969279,0.35230403
941.71,0.05102589,0.37074328
942.15,0.05174347,0.38744863
942.59,0.05107098,0.40244506
943.03,0.04926488,0.41553911
943.47,0.04679262,0.42664995
943.91,0.04446952,0.43568846
944.35,0.04248469,0.44216532
944.79,0.03926124,0.44579865
945.22,0.03518188,0.44626133
945.66,0.03280896,0.44365393
946.10,0.03257148,0.42536839
946.54,0.03249120,0.37971393
946.98,0.03135520,0.33076625
947.42,0.03027744,0.27871329
947.86,0.03009940,0.22444389
948.30,0.02950668,0.16832305
948.74,0.02860558,0.11083843
949.18,0.02935301,0.05223679
949.62,0.03034339,-0.00687539
950.06,0.02934074,-0.06607917
950.50,0.02861178,-0.12510782
950.94,0.02984689,-0.18338509
951.38,0.03029945,-0.24060983
951.82,0.02867609,-0.29612552
952.26,0.02744342,-0.34955449
952.70,0.02718576,-0.40061015
953.14,0.02664592,-0.44910410
953.58,0.02725900,-0.49424893
954.01,0.02960653,-0.53557233
954.45,0.03065774,-0.57124638
954.89,0.02934546,-0.56113328
955.33,0.02770776,-0.54693113
955.77,0.02699817,-0.52850287
956.21,0.02676964,-0.50616857
956.65,0.02600490,-0.48038594
957.09,0.02515998,-0.45147767
957.53,0.02517583,-0.41963449
957.97,0.02542658,-0.38506402
958.40,0.02531518,-0.34812444
958.84,0.02478512,-0.30894959
959.28,0.02380526,-0.26794249
959.72,0.02355288,-0.22571832
960.16,0.02511032,-0.18237167
960.60,0.02676983,-0.13830574
961.04,0.02637495,-0.09375040
961.48,0.02458960,-0.04896349
961.91,0.02307393,-0.00428286
962.35,0.02158470,0.04016905
962.79,0.01914490,0.08423350
963.23,0.01590212,0.12035542
963.67,0.01266285,0.14158427
964.11,0.01143509,0.16158467
964.55,0.01353137,0.18071956
964.98,0.01714225,0.19894776
965.42,0.01891816,0.21638305
965.86,0.01740261,0.23288666
966.30,0.01472478,0.24837898
966.74,0.01261372,0.26286275
967.18,0.01112580,0.27639680
967.61,0.01150578,0.28923598
968.05,0.01459339,0.30147891
968.49,0.01786742,0.31298751
968.93,0.01822894,0.32395373
969.37,0.01555751,0.33426945
969.80,0.01142955,0.34395610
970.24,0.00795843,0.35300956
970.68,0.00664397,0.36163706
971.12,0.00683000,0.36952130
971.56,0.00702168,0.37680855
971.99,0.00814278,0.38592980
972.43,0.01177734,0.40055120
972.87,0.01544062,0.41517708
973.31,0.01531999,0.42957006
973.75,0.01274674,0.44337115
974.18,0.01214452,0.45644328
974.62,0.01251929,0.46906082
975.06,0.01048886,0.48106308
975.50,0.00771452,0.49223418
975.93,0.00606298,0.50253544
976.37,0.00501114,0.51190433
976.81,0.00504596,0.51993205
977.25,0.00589626,0.52678447
977.68,0.00598764,0.53237553
978.12,0.00505679,0.53647480
978.56,0.00423890,0.53920498
979.00,0.00546259,0.54049623
979.43,0.00865889,0.54004787
979.87,0.01070118,0.53783752
980.31,0.01026787,0.53376761
980.75,0.00895178,0.52770502
981.18,0.00731948,0.50559593
981.62,0.00519036,0.47780483
982.06,0.00495680,0.44861819
982.50,0.00878850,0.41799403
982.93,0.01480086,0.38619107
983.37,0.01951425,0.35360586
983.81,0.02081422,0.32014594
984.24,0.01834681,0.28614670
984.68,0.01462561,0.25175940
985.12,0.01335436,0.21709348
985.56,0.01368876,0.18243326
985.99,0.01283312,0.14780442
986.43,0.01152695,0.11359298
986.87,0.01168646,0.07974917
987.30,0.01239647,0.04651578
987.74,0.01094085,0.01448114
988.18,0.00744271,-0.01657792
988.61,0.00327399,-0.04640551
989.05,0.00024321,-0.07457906
989.49,0.00143030,-0.10115906
989.92,0.00487828,-0.12590498
990.36,0.00639220,-0.12948047
990.80,0.00796072,-0.12871605
991.23,0.01234015,-0.12611505
991.67,0.01620886,-0.12165226
992.11,0.01469767,-0.11563374
992.54,0.00877982,-0.10791744
992.98,0.00388123,-0.09878905
993.42,0.00222030,-0.08813918
993.85,0.00291407,-0.07624498
994.29,0.00451000,-0.06332925
994.72,0.00369680,-0.04938040
995.16,0.00033805,-0.03441039
995.60,-0.00019936,-0.01872472
996.03,0.00370496,-0.00229280
996.47,0.00783070,0.01456768
996.91,0.01042124,0.03171337
997.34,0.01276971,0.04928227
997.78,0.01460029,0.06693514
998.21,0.01407270,0.08475741
998.65,0.01029100,0.10219380
999.09,0.00445532,0.11936300
999.52,-0.00126961,0.13137051
999.96,0.00240800,0.13962855
1000.39,-0.00235577,0.14780845
1000.83,0.00317227,0.15562193
1001.26,0.00952994,0.16355280
1001.70,0.01459094,0.17116162
1002.14,0.01586177,0.17889467
1002.57,0.01033558,0.18650337
1003.01,0.00163977,0.19396950
1003.44,-0.00063403,0.20139470
1003.88,0.00522030,0.20830262
1004.31,0.01055524,0.21521763
1004.75,0.01061510,0.22188479
1005.19,0.00925805,0.22863646
1005.62,0.00919696,0.23515416
1006.06,0.00909250,0.24128592
1006.49,0.00828771,0.24710594
1006.93,0.00731285,0.25270537
1007.36,0.00716954,0.25821310
1007.80,0.00849834,0.26333357
1008.23,0.00953362,0.26803163
1008.67,0.01016213,0.27230272
1009.10,0.01209236,0.27677736
1009.54,0.01378074,0.28077312
1009.97,0.01318953,0.28459269
1010.41,0.01056585,0.28841057
1010.85,0.00790421,0.29176512
1011.28,0.00726473,0.29480532
1011.72,0.00810642,0.29745736
1012.15,0.00716166,0.29969559
1012.59,0.00364925,0.30153271
1013.02,-0.00016882,0.30297159
1013.46,0.00292834,0.30402093
1013.89,-0.01429745,0.30454555
1014.33,-0.02212928,0.30476177
1014.76,-0.02248794,0.30445185
1015.19,-0.01522050,0.30366864
1015.63,0.00288188,0.30233191
1016.06,0.00382450,0.30049012
1016.50,0.01136098,0.29810154
1016.93,0.00925680,0.29510044
1017.37,0.00191278,0.29165881
1017.80,0.00022291,0.28767344
1018.24,0.00398100,0.28323251
1018.67,0.00707848,0.27527084
1019.11,0.00694224,0.26480326
1019.54,0.00492064,0.25416054
1019.98,0.00355532,0.24299366
1020.41,0.00336858,0.23165095
1020.84,0.00536388,0.21997477
1021.28,0.00932901,0.20806447
1021.71,0.01258229,0.19582885
1022.15,0.01463324,0.18329080
1022.58,0.01361306,0.17092437
1023.02,0.00835281,0.15900148
1023.45,0.00315021,0.14747326
1023.88,0.00103590,0.13623002
1024.32,0.00122982,0.12523114
1024.75,0.00191919,0.11453189
1025.19,0.00349086,0.10410703
1025.62,0.01008122,0.09424429
1026.06,0.01981169,0.08483026
1026.49,0.02209990,0.07600631
1026.92,0.01452975,0.06777599
1027.36,0.00691041,0.06066881
1027.79,0.00590435,0.05417286
1028.23,0.00966685,0.04833751
1028.66,0.01169223,0.07064573
1029.09,0.00499187,0.09504573
1029.53,0.00544936,0.11962613
1029.96,0.00237859,0.14445624
1030.39,-0.00292962,0.16902564
1030.83,0.00172906,0.19310948
1031.26,-0.00256830,0.21624862
1031.69,0.00234285,0.23841116
1032.13,-0.00167523,0.25905179
1032.56,-0.00098054,0.27784134
1033.00,0.00383887,0.29502284
1033.43,-0.00336668,0.31000484
1033.86,0.00135041,0.32286683
1034.30,0.00769852,0.33293640
1034.73,0.01462905,0.34030080
1035.16,0.01527228,0.34438389
1035.60,0.00964818,0.34515415
1036.03,0.00786282,0.34199346
1036.46,0.01288181,0.33509317
1036.90,0.01855696,0.32392176
1037.33,0.02174704,0.30841346
1037.76,0.02215996,0.28797809
1038.20,0.01990070,0.26269141
1038.63,0.01633672,0.21131297
1039.06,0.01426607,0.14913987
1039.49,0.01627504,0.08134503
1039.93,0.02056539,0.00771073
1040.36,0.02548056,-0.07149571
1040.79,0.03176309,-0.15632364
1041.23,0.03368622,-0.24729762
1041.66,0.02456158,-0.34395999
1042.09,0.01271185,-0.44627699
1042.53,0.01072864,-0.55367602
1042.96,0.01227453,-0.66686107
1043.39,0.00893224,-0.78584535
1043.82,0.00765377,-0.91075967
1044.26,0.00894635,-1.04168539
1044.69,0.00223720,-1.17851537
1045.12,0.00257281,-1.32132987
1045.55,-0.02783170,-1.47012886
1045.99,-0.03307462,-1.62503627
1046.42,-0.03074587,-1.78621120
1046.85,-0.00419917,-1.95328207
1047.28,-0.00332330,-2.12619289
1047.72,0.01286615,-2.30521449
1048.15,0.01676298,-2.48993637
1048.58,0.01076241,-2.68058082
1049.01,0.00356063,-2.87759265
1049.45,0.00062368,-3.08023897
1049.88,0.00323530,-3.28854416
