Wavelength[nm],Intensity[normalized],Phase[rad]
586.54,0.12158448,-0.26253926
587.00,0.12182384,-0.27025591
587.46,0.12401087,-0.27904976
587.92,0.12660902,-0.28756139
588.38,0.12848904,-0.29573608
588.85,0.13022645,-0.30339824
589.31,0.13248159,-0.31116915
589.77,0.13563895,-0.31852581
590.23,0.13891863,-0.32585396
590.69,0.14054934,-0.33278970
591.15,0.14025300,-0.33892687
591.62,0.13959022,-0.34375414
592.08,0.14016054,-0.34737231
592.54,0.14262867,-0.34963736
593.00,0.14649409,-0.34987428
593.46,0.15087557,-0.34751046
593.92,0.15602020,-0.34347858
594.38,0.16264465,-0.33762128
594.85,0.16982700,-0.33037008
595.31,0.17622729,-0.32106914
595.77,0.18167020,-0.31019362
596.23,0.18478284,-0.29755776
596.69,0.18382304,-0.28261563
597.15,0.18096227,-0.26647384
597.61,0.18029194,-0.24958165
598.07,0.18229712,-0.23241774
598.54,0.18437540,-0.21509737
599.00,0.18561019,-0.19848396
599.46,0.18767360,-0.18197434
599.92,0.19130117,-0.16652790
600.38,0.19471130,-0.15203513
600.84,0.19649516,-0.13862949
601.30,0.19721015,-0.12625022
601.76,0.19690365,-0.11576899
602.22,0.19479598,-0.10686061
602.69,0.19144463,-0.09931963
603.15,0.18868815,-0.09426670
603.61,0.18752746,-0.09136906
604.07,0.18723974,-0.09013138
604.53,0.18710288,-0.09023919
604.99,0.18745104,-0.09192710
605.45,0.18914935,-0.09510448
605.91,0.19274275,-0.09892059
606.37,0.19676867,-0.10397351
606.83,0.19921976,-0.11042497
607.29,0.20043074,-0.11769124
607.75,0.20099371,-0.12526254
608.22,0.20033470,-0.13304856
608.68,0.19908181,-0.14073533
609.14,0.19793434,-0.14813355
609.60,0.19529782,-0.15471254
610.06,0.19105283,-0.15972321
610.52,0.18778023,-0.16357227
610.98,0.18601566,-0.16651263
611.44,0.18483103,-0.16842336
611.90,0.18522148,-0.16936976
612.36,0.18802302,-0.16923451
612.82,0.19194009,-0.16756673
613.28,0.19519715,-0.16471939
613.74,0.19686407,-0.15994334
614.20,0.19822255,-0.15353181
614.66,0.20148239,-0.14586405
615.12,0.20579046,-0.13696774
615.58,0.20801178,-0.12724236
616.04,0.20690234,-0.11566659
616.50,0.20386892,-0.10290932
616.96,0.20111645,-0.08924461
617.42,0.19965480,-0.07454986
617.88,0.19899963,-0.05880144
618.34,0.19859157,-0.04251169
618.80,0.19995683,-0.02576408
619.26,0.20492066,-0.00850624
619.72,0.21243978,0.00864584
620.18,0.22145670,0.02620631
620.64,0.23086079,0.04373472
621.10,0.23701616,0.06086629
621.56,0.23842207,0.07780316
622.02,0.23849946,0.09482729
622.48,0.24152132,0.11103908
622.94,0.24867725,0.12715474
623.40,0.25788306,0.14292693
623.86,0.26630392,0.15836641
624.32,0.27203211,0.17330549
624.78,0.27423634,0.18714759
625.24,0.27357871,0.20030856
625.70,0.27298804,0.21315439
626.16,0.27611621,0.22532597
626.62,0.28182085,0.23635225
627.08,0.28568113,0.24692980
627.54,0.28776402,0.25574834
628.00,0.29022514,0.26372501
628.46,0.29242080,0.27072536
628.92,0.29374452,0.27716749
629.38,0.29532295,0.28237410
629.84,0.29914778,0.28681492
630.30,0.30455575,0.29059109
630.76,0.30627494,0.29290499
631.22,0.30208463,0.29335449
631.68,0.29653093,0.29316666
632.13,0.29406084,0.29257516
632.59,0.29545011,0.29146999
633.05,0.29915376,0.29038455
633.51,0.30251785,0.28923106
633.97,0.30426505,0.28847162
634.43,0.30526666,0.28812346
634.89,0.30583202,0.28832220
635.35,0.30467465,0.28979734
635.81,0.29979083,0.29395112
636.27,0.29179247,0.29949361
636.73,0.28382095,0.30696944
637.19,0.27536836,0.31641317
637.64,0.26324632,0.32659529
638.10,0.24925385,0.33883179
638.56,0.23939061,0.35212432
639.02,0.23755568,0.36617956
639.48,0.24195212,0.38259770
